Image ID,Image name,The category of the end of the operation,The state of the end of the operation,The material at the end of the operation,The size of the end of the operation,Structural description,Attitude at the end of the operation,Actions at the end of the operation,Holistic description,ID,comments
1,image1.jpg,Hand,close,Metal,middle,"Hand-shaped, smooth edges, flat surface, no rubber pad, hinged connection, movable five fingers.","Vertically positioned, aligned with the center of the image.",Clamping,"This is an image from a front-facing perspective, showing a metal hand-shaped device in a gripping position. It is of medium size, with smooth edges and a flat surface. The fingers are hinged and movable, with no rubber pad. The current posture is vertical, and the device is performing a gripping actio",A01,无
2,image2.jpg,Gripper,open,Metal,middle,"Rectangular shape, smooth edges, flat surface, snap-on connection, left-right symmetry, equipped with a rotating mechanical arm.","Tilted, aligned with the top-left corner of the image.",open,"This is an image taken from a tilted perspective, showing a medium-sized metal claw device with a rectangular shape, smooth edges, and a flat surface. It has a snap-on connection, is symmetrical on both sides, and is equipped with a rotating mechanical arm. The current posture is tilted, aligned with the top-left corner of the image, and the device is in an open state.",A02,无
3,image3.jpg,Hand,open,Metal,middle,"Hand-like shape, smooth edges, curved surface, hinged connection, radially symmetrical, no rubber pad, with three movable fingers.","Vertically positioned, aligned with the center of the image.",open,"This is an image from a front-facing perspective, showing a hand-like metal device with smooth edges, a curved surface, hinged connections, radial symmetry, and three movable fingers. There is no rubber pad. The current posture is vertical, aligned with the center of the image, and the device is performing a releasing action.",A04,无
4,image4.jpg,Hand,Hand,Metal,middle,"Hand-shaped, smooth edges, curved surface, hinged connection, asymmetrical structure, no rubber pad, with three movable fingers.","Vertically positioned, aligned with the left side of the image.",open,"This is an image from a front-facing perspective, showing a small plastic hand-shaped device in a releasing position. The device has smooth edges, a curved surface, and is hinged. It is asymmetrical, with no rubber pad. The current posture is vertical, aligned with the left side of the image, and the device is performing a releasing action.",A05,无
5,image5.jpg,Gripper,open,Metal,small,"Cylindrical shape, sharp edges, hinged connection, curved surface with anti-slip texture, and five claws symmetrically arranged around the center.","Tilted at a 30-degree angle, aligned with the top-right corner of the image.",open,"This is an image from a side perspective, showing a metal claw with sharp edges, a curved surface featuring an anti-slip texture, and a hinged connection. It is cylindrical in shape, with five claws symmetrically arranged around the center. The claw is currently in a releasing state and aligned with the top-right corner of the image.",A06,无
6,image6.jpg,Gripper,open,Metal,middle,"Rectangular shape, smooth edges, flat surface, hinged connection, left-right symmetry, equipped with a rotating mechanical arm, and has a plastic pad.","Tilted at a 30-degree angle, aligned with the top-left corner of the image.",open,"This is an image from a side perspective, tilted at a 30-degree angle and aligned with the top-left corner of the image. It shows a medium-sized metal claw device in a releasing state, with smooth edges and a plastic pad.",,
7,image7.jpg,Gripper,open,plastic,middle,"Triangular shape, smooth edges, curved surface, with anti-slip texture at the tip, center-symmetric, with four movable claws.","Horizontally placed, aligned with the bottom edge.",open,"This is an image from a side perspective, with the plastic claw device placed horizontally. It is medium-sized, triangular in shape, with smooth edges, a curved surface, and anti-slip texture at the tip. The device is center-symmetric, with four movable claws, and is currently in an open state.",,无
8,image8.jpg,Gripper,open,Metal,small,"Rectangular shape, smooth edges, flat surface, with a rubber pad, left-right symmetry, hinged connection.","Vertically placed, aligned with the center of the image.",open,"This is an image from a front-facing perspective, with the metal claw device placed vertically. It is small-sized, rectangular in shape, with smooth edges, a flat surface, and a rubber pad. The device is left-right symmetric and is currently in a releasing state.",,无
9,image9.jpg,Gripper,open,Metal,middle,"Rectangular shape, smooth edges, flat surface, with a rubber pad, left-right symmetry, hinged connection.","Tilted, aligned with the bottom-left corner of the image.",open,"This is an image from a side perspective, tilted and aligned with the bottom-left corner of the image. It shows a medium-sized metal claw device in a releasing state, rectangular in shape with smooth edges, a flat surface, and a rubber pad. The device is left-right symmetric, hinged, and currently in a releasing state.",,无
10,image10.jpg,Gripper,close,Metal,small,"Rectangular shape, smooth edges, flat surface, left-right symmetry, bolted connection.","Vertically placed, tilted 30 degrees to the left within the image.",Clamping,"This is an image from a front-facing perspective, with the metal claw device placed vertically. It is small-sized, rectangular in shape, with sharp edges, a flat surface, and left-right symmetry. The device is in a releasing state and has a bolted connection.",,
